# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\A2560K Project\FPGA\CFP95179K\CFP95179K.csv
# Generated on: Fri Jun 18 22:28:07 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CPU_LFOn,Unknown,PIN_C10,8,B8_N0,,,,,,
CPU_LOCKn,Unknown,PIN_B21,7,B7_N1,,,,,,
CPU_LOCKEn,Unknown,PIN_C21,7,B7_N0,,,,,,
CPU_LOC,Unknown,PIN_B10,8,B8_N0,,,,,,
CPU_MDISn,Unknown,PIN_D11,8,B8_N1,,,,,,
CPU_Min,Unknown,PIN_D17,7,B7_N1,,,,,,
CPU_PCLK_o,Unknown,PIN_D23,7,B7_N0,,,,,,
CPU_PST0,Unknown,PIN_J16,7,B7_N2,,,,,,
CPU_PST1,Unknown,PIN_G15,7,B7_N2,,,,,,
CPU_PST2,Unknown,PIN_H15,7,B7_N2,,,,,,
CPU_PST3,Unknown,PIN_B17,7,B7_N2,,,,,,
CPU_RWn,Unknown,PIN_F17,7,B7_N2,,,,,,
CPU_RESET_INn,Unknown,PIN_D12,8,B8_N0,,,,,,
CPU_RESET_OUTn,Unknown,PIN_F10,8,B8_N1,,,,,,
CPU_SCDn,Unknown,PIN_A10,8,B8_N0,,,,,,
CPU_SC0,Unknown,PIN_F14,8,B8_N0,,,,,,
CPU_SC1,Unknown,PIN_G14,8,B8_N0,,,,,,
CPU_SIZ0,Unknown,PIN_D18,7,B7_N1,,,,,,
CPU_SIZ1,Unknown,PIN_E17,7,B7_N2,,,,,,
CPU_TAn,Unknown,PIN_F15,7,B7_N2,,,,,,
CPU_TBIn,Unknown,PIN_D13,8,B8_N0,,,,,,
CPU_TCIn,Unknown,PIN_J13,8,B8_N0,,,,,,
CPU_TEAn,Unknown,PIN_D14,8,B8_N0,,,,,,
CPU_TIPn,Unknown,PIN_C15,7,B7_N2,,,,,,
CPU_TSn,Unknown,PIN_C17,7,B7_N1,,,,,,
CPU_TLN0,Unknown,PIN_C20,7,B7_N1,,,,,,
CPU_TLN1,Unknown,PIN_D20,7,B7_N1,,,,,,
CPU_TM0,Unknown,PIN_G20,7,B7_N1,,,,,,
CPU_TM1,Unknown,PIN_D21,7,B7_N0,,,,,,
CPU_TM2,Unknown,PIN_E18,7,B7_N1,,,,,,
CPU_TT0,Unknown,PIN_H10,8,B8_N1,,,,,,
CPU_TT1,Unknown,PIN_E8,8,B8_N2,,,,,,
CPU_UPA0,Unknown,PIN_G10,8,B8_N1,,,,,,
CPU_UPA1,Unknown,PIN_D7,8,B8_N2,,,,,,
LOCAL_MEM_FLASH_CS0n_o,Unknown,PIN_E24,7,B7_N1,,,,,,
LOCAL_MEM_FLASH_CS1n_o,Unknown,PIN_B22,7,B7_N1,,,,,,
LOCAL_MEM_FLASH_OEn_o,Unknown,PIN_F22,7,B7_N0,,,,,,
LOCAL_MEM_FLASH_WEn_o,Unknown,PIN_C22,7,B7_N0,,,,,,
LOCAL_MEM_FLASH_RSTn,Unknown,PIN_D22,7,B7_N0,,,,,,
LOCAL_MEM_FLASH_WPn,Unknown,PIN_P25,6,B6_N2,,,,,,
LOCAL_MEM_SRAM_BE0n_o,Unknown,PIN_C25,7,B7_N0,,,,,,
LOCAL_MEM_SRAM_BE1n_o,Unknown,PIN_C24,7,B7_N0,,,,,,
LOCAL_MEM_SRAM_BE2n_o,Unknown,PIN_A26,7,B7_N0,,,,,,
LOCAL_MEM_SRAM_BE3n_o,Unknown,PIN_A25,7,B7_N0,,,,,,
LOCAL_MEM_SRAM_CS0n_o,Unknown,PIN_B26,7,B7_N0,,,,,,
LOCAL_MEM_SRAM_CS1n_o,Unknown,PIN_B25,7,B7_N0,,,,,,
LOCAL_MEM_SRAM_OEn_o,Unknown,PIN_D24,7,B7_N0,,,,,,
LOCAL_MEM_SRAM_WEn_o,Unknown,PIN_E22,7,B7_N0,,,,,,
ABUS_CTRL_CLK_o,Unknown,PIN_H24,6,B6_N0,,,,,,
ABUS_CTRL_IN_o,Unknown,PIN_H25,6,B6_N1,,,,,,
ABUS_CTRL_LATCH_o,Unknown,PIN_H26,6,B6_N1,,,,,,
ABUS_DATA_CLK_o,Unknown,PIN_J25,6,B6_N1,,,,,,
ABUS_DATA_IN0_o,Unknown,PIN_K26,6,B6_N1,,,,,,
ABUS_DATA_IN1_o,Unknown,PIN_K25,6,B6_N1,,,,,,
ABUS_DATA_LATCH_o,Unknown,PIN_J26,6,B6_N1,,,,,,
ABUS_SID_CLK_o,Unknown,PIN_G28,6,B6_N1,,,,,,
ABUS_SID_IN_o,Unknown,PIN_G27,6,B6_N1,,,,,,
ABUS_SID_LATCH_o,Unknown,PIN_G26,6,B6_N0,,,,,,
ABUS_RSTn_o,Unknown,PIN_G24,6,B6_N0,,,,,,
AUD_PDn_o,Unknown,PIN_V21,5,B5_N1,,,,,,
AUD2_BICK_o,Unknown,PIN_AC25,5,B5_N2,,,,,,
AUD2_LRCK_o,Unknown,PIN_AE27,5,B5_N2,,,,,,
AUD2_MCLK_o,Unknown,PIN_AB24,5,B5_N2,,,,,,
AUD2_SDTI_o,Unknown,PIN_AD26,5,B5_N2,,,,,,
AUD3_BICK_o,Unknown,PIN_Y23,5,B5_N2,,,,,,
AUD3_LRCK_o,Unknown,PIN_AB25,5,B5_N1,,,,,,
AUD3_MCLK_o,Unknown,PIN_W22,5,B5_N0,,,,,,
AUD3_SDTI_o,Unknown,PIN_AA24,5,B5_N2,,,,,,
AMP_MUTE_o,Unknown,PIN_C26,7,B7_N0,,,,,,
AMP_SDBY_o,Unknown,PIN_C27,6,B6_N0,,,,,,
BTX_BUZZER_o,Unknown,PIN_J3,1,B1_N1,,,,,,
