G6,F_SD_CMD,IO_134/R\E\S\E\T\
F3,F_SD_DAT0,IO_109
F5,F_SD_DAT1,IO_111
G4,F_SD_DAT2,IO_132
G5,F_SD_DAT3,IO_133
E1,F_SD_WP,IO_85
K22,GAMMA_MODE_A,IO_202
K21,GAMMA_MODE_B,IO_201
L22,HI-RES_MODE_A,IO_216
L21,HI-RES_MODE_B,IO_215
AB22,IDE_C\S\0\,IO_377
Y19,IDE_C\S\1\,IO_330
AF25,IDE_DATA_DIR,IO_479
AG26,IDE_DATA_O\E\,IO_497
AF26,IDE_INTRQ,IO_480
AA21,IDE_IORDY,IO_350
AB21,IDE_R\E\S\E\T\,IO_376
D2,INT_POWER_LED,IO_59
AD25,IO_A0,IO_424
AE25,IO_A1,IO_452
AD24,IO_A2,IO_423
AF21,IO_A3,IO_475
AG22,IO_A4,IO_494
AH23,IO_A5,IO_511
AE19,IO_A6,IO_446
AF20,IO_A7,IO_474
AA19,IO_D0,IO_349
AC21,IO_D1,IO_399
AF24,IO_D2,IO_478
AH26,IO_D3,IO_513
AD21,IO_D4,IO_421
AH25,IO_D5,IO_512
AC19,IO_D6,IO_398
AF22,IO_D7,IO_476
AG23,IO_D8,IO_495
AE21,IO_D9,IO_448
AB18,IO_D10,IO_373
AE22,IO_D11,IO_449
AB19,IO_D12,IO_374
AG25,IO_D13,IO_496
AD22,IO_D14,IO_422
AB20,IO_D15,IO_375
AC22,IO_R\D\,IO_400
AE24,IO_W\R\,IO_451
R1,JOY0_BTN0,IO_251
A6,JOY0_BTN1,IO_3
B6,JOY0_BTN2,IO_19
J19,JOY0_DWN,IO_189
H21,JOY0_LFT,IO_171
G22,JOY0_RGHT,IO_150
H19,JOY0_UP,IO_170
M2,JOY1_BTN0,IO_224
N3,JOY1_BTN1,IO_237
P2,JOY1_BTN2,IO_245
M1,JOY1_DWN,IO_223
N8,JOY1_LFT,IO_240
N4,JOY1_RGHT,IO_238
M3,JOY1_UP,IO_225
P1,JOYSTICK0_RLY,IO_244
M4,JOYSTICK1_RLY,IO_226
P5,JTAG_TCK,TCK
P7,JTAG_TDI,TDI
P6,JTAG_TDO,TDO
P8,JTAG_TMS,TMS
H5,KBD_C\S\,IO_159
H7,KBD_CLK,IO_161
G1,KBD_I\N\T\,IO_129
G2,KBD_MISO,IO_130
H4,KBD_MOSI,IO_158
V22,LPC_CLK_32Khz,IO_299
AC26,LPC_I\R\Q\,IO_403
AD27,LPC_L\D\R\Q\,IO_426
AD28,LPC_L\F\R\A\M\E\,IO_427
AA25,LPC_LAD0,IO_354
Y24,LPC_LAD1,IO_333
AC28,LPC_LAD2,IO_405
AC27,LPC_LAD3,IO_404
AE28,LPC_R\S\T\,IO_455
C2,MACHINE_ID0,IO_32
D1,MACHINE_ID1,IO_58
J6,MTX_CLK,IO_180
H3,MTX_LATCH,IO_157
H6,MTX_SERIAL_IN,IO_160
E28,OPL3_CLK,IO_106
F28,OPL3_I\N\T\,IO_128/A\V\D\
D27,OPM_CLK,IO_83
F26,OPM_I\N\T\,IO_126
D28,OPN2_CLK,IO_84
F27,OPN2_I\N\T\,IO_127
A15,OSC_CLK_14.318Mhz,CLK8
Y28,OSC_CLK_22.579Mhz,CLK7
AG14,OSC_CLK_25.175Mhz,CLK15
AH15,OSC_CLK_25.175Mhz,CLK12
B15,OSC_CLK_33.333Mhz,CLK9
AH14,OSC_CLK_40.000Mhz,CLK14
Y2,OSC_CLK_40.000Mhz,CLK2
AG15,OSC_CLK_65.000Mhz,CLK13
D23,PCLK_OUT (not used),IO_79/PLL2_CLKp
E3,POWER_LED_RGB,IO_87
K3,RTC_\O\E\,IO_197
L5,RTC_A0,IO_211
L7,RTC_A1,IO_213
L8,RTC_A2,IO_214
K2,RTC_A3,IO_196
K1,RTC_C\S\,IO_195
L3,RTC_D0,IO_209
L1,RTC_D1,IO_207
M7,RTC_D2,IO_228
M5,RTC_D3,IO_227
M8,RTC_D4,IO_229
L2,RTC_D5,IO_208
L4,RTC_D6,IO_210
L6,RTC_D7,IO_212
K4,RTC_I\N\T\,IO_198
K7,RTC_R/W\,IO_199
J4,SDCARD_LED,IO_178
E27,SID_CLK,IO_105
G3,STS_CLK,IO_131
J7,STS_LATCH,IO_181
J5,STS_SERIAL_IN,IO_179
U21,SYSRAM_A0,IO_282
U22,SYSRAM_A1,IO_283
U23,SYSRAM_A2,IO_284
U24,SYSRAM_A3,IO_285
U25,SYSRAM_A4,IO_286
U26,SYSRAM_A5,IO_287
U27,SYSRAM_A6,IO_288
U28,SYSRAM_A7,IO_289
T21,SYSRAM_A8,IO_270/D\E\V\_\C\L\R\
T22,SYSRAM_A9,IO_271/DEV_OE
V28,SYSRAM_A10,IO_305
T25,SYSRAM_A11,IO_272
T26,SYSRAM_A12,IO_273
V26,SYSRAM_BA0,IO_303
V27,SYSRAM_BA1,IO_304
V23,SYSRAM_C\A\S\,IO_300
V25,SYSRAM_C\S\0\,IO_302
R21,SYSRAM_CKE,IO_258
R22,SYSRAM_CLK,IO_259
N21,SYSRAM_DQ0,IO_241
N25,SYSRAM_DQ1,IO_242
N26,SYSRAM_DQ2,IO_243
M21,SYSRAM_DQ3,IO_230
M23,SYSRAM_DQ4,IO_231
M24,SYSRAM_DQ5,IO_232
M25,SYSRAM_DQ6,IO_233
M26,SYSRAM_DQ7,IO_234
L28,SYSRAM_DQ8,IO_222
L27,SYSRAM_DQ9,IO_221
L26,SYSRAM_DQ10,IO_220
L25,SYSRAM_DQ11,IO_219
L24,SYSRAM_DQ12,IO_218
L23,SYSRAM_DQ13,IO_217
K28,SYSRAM_DQ14,IO_206
K27,SYSRAM_DQ15,IO_205
AB26,SYSRAM_DQ16,IO_381
AB27,SYSRAM_DQ17,IO_382
AB28,SYSRAM_DQ18,IO_383
AA26,SYSRAM_DQ19,IO_355
Y26,SYSRAM_DQ20,IO_335
Y25,SYSRAM_DQ21,IO_334
W25,SYSRAM_DQ22,IO_314
W26,SYSRAM_DQ23,IO_315
R24,SYSRAM_DQ24,IO_261
R25,SYSRAM_DQ25,IO_262
R26,SYSRAM_DQ26,IO_263
R27,SYSRAM_DQ27,IO_264
R28,SYSRAM_DQ28,IO_265
P21,SYSRAM_DQ29,IO_246
P27,SYSRAM_DQ30,IO_249/CLKUSR
